N = 146, K = 76 => complexity = 146
N = 146, K = 81 => complexity = 146
N = 146, K = 86 => complexity = 146
N = 146, K = 91 => complexity = 146
N = 146, K = 96 => complexity = 146
N = 146, K = 101 => complexity = 146
N = 146, K = 106 => complexity = 146
N = 146, K = 111 => complexity = 146
N = 146, K = 116 => complexity = 146
N = 146, K = 121 => complexity = 146
N = 146, K = 126 => complexity = 146
N = 146, K = 131 => complexity = 146
N = 146, K = 136 => complexity = 146
N = 146, K = 141 => complexity = 146
N = 146, K = 146 => complexity = 146
N = 151, K = 1 => complexity = 480.026
N = 151, K = 6 => complexity = 362.089
N = 151, K = 11 => complexity = 319.205
N = 151, K = 16 => complexity = 295.091
N = 151, K = 21 => complexity = 278.61
N = 151, K = 26 => complexity = 256.544
N = 151, K = 31 => complexity = 241.911
N = 151, K = 36 => complexity = 241.911
N = 151, K = 41 => complexity = 223.045
N = 151, K = 46 => complexity = 223.045
N = 151, K = 51 => complexity = 196.456
N = 151, K = 56 => complexity = 196.456
N = 151, K = 61 => complexity = 196.456
N = 151, K = 66 => complexity = 196.456
N = 151, K = 71 => complexity = 196.456
N = 151, K = 76 => complexity = 151
N = 151, K = 81 => complexity = 151
N = 151, K = 86 => complexity = 151
N = 151, K = 91 => complexity = 151
N = 151, K = 96 => complexity = 151
N = 151, K = 101 => complexity = 151
N = 151, K = 106 => complexity = 151
N = 151, K = 111 => complexity = 151
N = 151, K = 116 => complexity = 151
N = 151, K = 121 => complexity = 151
N = 151, K = 126 => complexity = 151
N = 151, K = 131 => complexity = 151
N = 151, K = 136 => complexity = 151
N = 151, K = 141 => complexity = 151
N = 151, K = 146 => complexity = 151
N = 151, K = 151 => complexity = 151
N = 156, K = 1 => complexity = 498.127
N = 156, K = 6 => complexity = 376.736
N = 156, K = 11 => complexity = 334.796
N = 156, K = 16 => complexity = 304.862
N = 156, K = 21 => complexity = 287.835
N = 156, K = 26 => complexity = 277.392
N = 156, K = 31 => complexity = 265.039
N = 156, K = 36 => complexity = 249.921
N = 156, K = 41 => complexity = 230.431
N = 156, K = 46 => complexity = 230.431
N = 156, K = 51 => complexity = 230.431
N = 156, K = 56 => complexity = 202.961
N = 156, K = 61 => complexity = 202.961
N = 156, K = 66 => complexity = 202.961
N = 156, K = 71 => complexity = 202.961
N = 156, K = 76 => complexity = 202.961
N = 156, K = 81 => complexity = 156
N = 156, K = 86 => complexity = 156
N = 156, K = 91 => complexity = 156
N = 156, K = 96 => complexity = 156
N = 156, K = 101 => complexity = 156
N = 156, K = 106 => complexity = 156
N = 156, K = 111 => complexity = 156
N = 156, K = 116 => complexity = 156
N = 156, K = 121 => complexity = 156
N = 156, K = 126 => complexity = 156
N = 156, K = 131 => complexity = 156
N = 156, K = 136 => complexity = 156
N = 156, K = 141 => complexity = 156
N = 156, K = 146 => complexity = 156
N = 156, K = 151 => complexity = 156
N = 156, K = 156 => complexity = 156
N = 161, K = 1 => complexity = 516.299
N = 161, K = 6 => complexity = 388.811
N = 161, K = 11 => complexity = 345.527
N = 161, K = 16 => complexity = 322
N = 161, K = 21 => complexity = 297.061
N = 161, K = 26 => complexity = 286.282
N = 161, K = 31 => complexity = 273.534
N = 161, K = 36 => complexity = 257.932
N = 161, K = 41 => complexity = 237.817
N = 161, K = 46 => complexity = 237.817
N = 161, K = 51 => complexity = 237.817
N = 161, K = 56 => complexity = 209.466
N = 161, K = 61 => complexity = 209.466
